id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,pengeluaran_per_kapita,satuan,tahun
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,15634,RIBU RUPIAH,2019
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,9225,RIBU RUPIAH,2019
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,17580,RIBU RUPIAH,2019
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,8601,RIBU RUPIAH,2019
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,13213,RIBU RUPIAH,2019
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,4001,RIBU RUPIAH,2019
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,13586,RIBU RUPIAH,2019
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,7250,RIBU RUPIAH,2019
91,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,17617,RIBU RUPIAH,2019
92,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,9771,RIBU RUPIAH,2019
93,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,15557,RIBU RUPIAH,2019
94,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,10400,RIBU RUPIAH,2019
95,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,22996,RIBU RUPIAH,2019
96,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,16390,RIBU RUPIAH,2019
97,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,16149,RIBU RUPIAH,2019
98,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,11447,RIBU RUPIAH,2019
99,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,22131,RIBU RUPIAH,2019
100,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,15165,RIBU RUPIAH,2019
101,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,22370,RIBU RUPIAH,2019
102,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,14310,RIBU RUPIAH,2019
103,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,16876,RIBU RUPIAH,2019
104,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,10793,RIBU RUPIAH,2019
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,13637,RIBU RUPIAH,2019
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,7995,RIBU RUPIAH,2019
107,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,16049,RIBU RUPIAH,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,7412,RIBU RUPIAH,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,14686,RIBU RUPIAH,2020
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,8302,RIBU RUPIAH,2020
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,12984,RIBU RUPIAH,2020
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,6672,RIBU RUPIAH,2020
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,11394,RIBU RUPIAH,2020
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,4970,RIBU RUPIAH,2020
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,13750,RIBU RUPIAH,2020
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,8929,RIBU RUPIAH,2020
117,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,11221,RIBU RUPIAH,2020
118,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,4349,RIBU RUPIAH,2020
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,11660,RIBU RUPIAH,2020
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,5302,RIBU RUPIAH,2020
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,14257,RIBU RUPIAH,2020
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,6375,RIBU RUPIAH,2020
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,13956,RIBU RUPIAH,2020
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,6690,RIBU RUPIAH,2020
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,15594,RIBU RUPIAH,2020
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,5386,RIBU RUPIAH,2020
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,13860,RIBU RUPIAH,2020
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,6209,RIBU RUPIAH,2020
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,13507,RIBU RUPIAH,2020
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,9728,RIBU RUPIAH,2020
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,14536,RIBU RUPIAH,2020
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,7259,RIBU RUPIAH,2020
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,14801,RIBU RUPIAH,2020
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,8446,RIBU RUPIAH,2020
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,17652,RIBU RUPIAH,2020
